hotel_name,hotel_area,poi_name,poi_weight,hotel_nearest_station,poi_nearest_station,hotel_walk_min,poi_walk_min,rough_subway_min,estimated_total_trip_min,access_score
Lotte New York Palace,Midtown East,Rockefeller Center,0.6,5 Av/53 St,47-50 Sts-Rockefeller Ctr,2.91,2.8,3.0,8.71,77.97
Lotte New York Palace,Midtown East,Bryant Park,0.55,5 Av/53 St,5 Av,2.91,1.37,3.0,7.29,81.21
Lotte New York Palace,Midtown East,Penn Station,0.5,5 Av/53 St,34 St-Penn Station,2.91,2.39,3.53,8.83,77.7
Lotte New York Palace,Midtown East,MoMA,0.45,5 Av/53 St,5 Av/53 St,2.91,3.08,3.0,8.99,77.35
Lotte New York Palace,Midtown East,Chelsea Market,0.4,5 Av/53 St,14 St,2.91,5.16,6.18,14.26,66.54
Lotte New York Palace,Midtown East,Washington Square Park,0.35,5 Av/53 St,W 4 St-Wash Sq,2.91,3.94,7.51,14.37,66.33
Lotte New York Palace,Midtown East,SoHo,0.3,5 Av/53 St,Canal St,2.91,3.52,9.81,16.24,62.87
Lotte New York Palace,Midtown East,Williamsburg,0.25,5 Av/53 St,Marcy Av,2.91,0.8,11.89,15.6,64.03
Conrad New York Downtown,Battery Park City,Statue of Liberty,1.0,WTC Cortlandt,South Ferry,5.74,37.22,3.0,45.96,26.9
Conrad New York Downtown,Battery Park City,Times Square,0.95,WTC Cortlandt,Times Sq-42 St,5.74,0.57,10.75,17.06,61.42
Conrad New York Downtown,Battery Park City,Empire State Building,0.9,WTC Cortlandt,34 St-Herald Sq,5.74,2.82,9.37,17.93,59.91
Conrad New York Downtown,Battery Park City,Central Park,0.85,WTC Cortlandt,81 St-Museum of Natural History,5.74,5.95,16.88,28.58,44.2
Conrad New York Downtown,Battery Park City,Grand Central Terminal,0.8,WTC Cortlandt,Grand Central-42 St,5.74,1.31,10.69,17.75,60.23
Conrad New York Downtown,Battery Park City,The Metropolitan Museum of Art,0.75,WTC Cortlandt,86 St,5.74,8.22,17.81,31.78,40.33
Conrad New York Downtown,Battery Park City,World Trade Center,0.7,WTC Cortlandt,WTC Cortlandt,5.74,1.78,3.0,10.52,74.03
Conrad New York Downtown,Battery Park City,Brooklyn Bridge,0.65,WTC Cortlandt,Fulton St,5.74,11.23,3.0,19.97,56.52
Conrad New York Downtown,Battery Park City,Rockefeller Center,0.6,WTC Cortlandt,47-50 Sts-Rockefeller Ctr,5.74,2.8,11.64,20.18,56.18
Conrad New York Downtown,Battery Park City,Bryant Park,0.55,WTC Cortlandt,5 Av,5.74,1.37,10.64,17.75,60.22
Conrad New York Downtown,Battery Park City,Penn Station,0.5,WTC Cortlandt,34 St-Penn Station,5.74,2.39,9.54,17.67,60.35
Conrad New York Downtown,Battery Park City,MoMA,0.45,WTC Cortlandt,5 Av/53 St,5.74,3.08,12.42,21.24,54.5
Conrad New York Downtown,Battery Park City,Chelsea Market,0.4,WTC Cortlandt,14 St,5.74,5.16,6.7,17.6,60.48
Conrad New York Downtown,Battery Park City,Washington Square Park,0.35,WTC Cortlandt,W 4 St-Wash Sq,5.74,3.94,4.97,14.65,65.79
Conrad New York Downtown,Battery Park City,SoHo,0.3,WTC Cortlandt,Canal St,5.74,3.52,3.0,12.26,70.44
Conrad New York Downtown,Battery Park City,Williamsburg,0.25,WTC Cortlandt,Marcy Av,5.74,0.8,9.21,15.75,63.76
"The Standard, High Line",Meatpacking District,Statue of Liberty,1.0,8 Av,South Ferry,5.76,37.22,8.59,51.57,22.91
"The Standard, High Line",Meatpacking District,Times Square,0.95,8 Av,Times Sq-42 St,5.76,0.57,4.54,10.87,73.31
"The Standard, High Line",Meatpacking District,Empire State Building,0.9,8 Av,34 St-Herald Sq,5.76,2.82,3.33,11.9,71.17
"The Standard, High Line",Meatpacking District,Central Park,0.85,8 Av,81 St-Museum of Natural History,5.76,5.95,10.59,22.3,52.88
"The Standard, High Line",Meatpacking District,Grand Central Terminal,0.8,8 Av,Grand Central-42 St,5.76,1.31,5.09,12.16,70.65
"The Standard, High Line",Meatpacking District,The Metropolitan Museum of Art,0.75,8 Av,86 St,5.76,8.22,11.86,25.84,47.79
"The Standard, High Line",Meatpacking District,World Trade Center,0.7,8 Av,WTC Cortlandt,5.76,1.78,6.42,13.96,67.1
"The Standard, High Line",Meatpacking District,Brooklyn Bridge,0.65,8 Av,Fulton St,5.76,11.23,6.79,23.77,50.7
"The Standard, High Line",Meatpacking District,Rockefeller Center,0.6,8 Av,47-50 Sts-Rockefeller Ctr,5.76,2.8,5.52,14.08,66.88
"The Standard, High Line",Meatpacking District,Bryant Park,0.55,8 Av,5 Av,5.76,1.37,4.67,11.81,71.37
"The Standard, High Line",Meatpacking District,Penn Station,0.5,8 Av,34 St-Penn Station,5.76,2.39,3.18,11.34,72.33
"The Standard, High Line",Meatpacking District,MoMA,0.45,8 Av,5 Av/53 St,5.76,3.08,6.47,15.3,64.58
"The Standard, High Line",Meatpacking District,Chelsea Market,0.4,8 Av,14 St,5.76,5.16,3.0,13.92,67.19
"The Standard, High Line",Meatpacking District,Washington Square Park,0.35,8 Av,W 4 St-Wash Sq,5.76,3.94,3.0,12.7,69.56
"The Standard, High Line",Meatpacking District,SoHo,0.3,8 Av,Canal St,5.76,3.52,3.81,13.1,68.79
"The Standard, High Line",Meatpacking District,Williamsburg,0.25,8 Av,Marcy Av,5.76,0.8,10.29,16.85,61.79
Arlo SoHo,SoHo / Hudson Square,Statue of Liberty,1.0,Canal St,South Ferry,2.65,37.22,4.79,44.65,27.92
Arlo SoHo,SoHo / Hudson Square,Times Square,0.95,Canal St,Times Sq-42 St,2.65,0.57,8.11,11.32,72.36
